timestamp,metric,value
2026-04-25T07:53:30.444Z,workers,2
2026-04-25T07:53:30.444Z,preflight_status,ok
2026-04-25T07:53:59.976Z,smoke_status,ok
2026-04-25T07:56:28.385Z,ofac_sample_capture,5
